BubbleSort, QuickSort, MergeSort
23.096, 0.044, 0.017
23.18, 0.046, 0.018
23.17, 0.051, 0.017
23.298, 0.045, 0.018
23.175, 0.045, 0.017
23.467, 0.047, 0.018
23.932, 0.044, 0.017
24.037, 0.048, 0.018
23.832, 0.044, 0.017
23.747, 0.045, 0.019
23.987, 0.045, 0.018
23.942, 0.045, 0.018
24.129, 0.045, 0.017
23.913, 0.048, 0.019
25.651, 0.043, 0.018
24.011, 0.047, 0.018
23.925, 0.047, 0.017
24.129, 0.046, 0.019
23.833, 0.044, 0.018
23.876, 0.05, 0.018
24.373, 0.057, 0.025
25.142, 0.046, 0.018
23.784, 0.044, 0.018
23.773, 0.046, 0.017
23.634, 0.045, 0.016
23.801, 0.045, 0.018
24.009, 0.045, 0.018
23.881, 0.045, 0.018
23.882, 0.046, 0.017
23.813, 0.047, 0.017
23.937, 0.046, 0.018
23.562, 0.045, 0.017
23.72, 0.045, 0.018
23.919, 0.044, 0.017
24.01, 0.05, 0.017
23.584, 0.046, 0.018
23.781, 0.044, 0.018
23.796, 0.045, 0.018
23.643, 0.045, 0.016
23.458, 0.044, 0.017
23.895, 0.045, 0.017
25.169, 0.047, 0.017
23.71, 0.044, 0.019
24.007, 0.045, 0.018
23.864, 0.046, 0.017
24.024, 0.052, 0.018
24.384, 0.046, 0.019
23.923, 0.044, 0.019
23.842, 0.046, 0.017
23.853, 0.046, 0.018
24.193, 0.047, 0.018
24.712, 0.048, 0.021
24.698, 0.048, 0.018
24.197, 0.047, 0.018
24.561, 0.046, 0.018
24.597, 0.048, 0.017
24.337, 0.047, 0.017
24.451, 0.045, 0.018
24.31, 0.047, 0.018
24.332, 0.045, 0.019
23.922, 0.045, 0.017
23.881, 0.045, 0.018
24.078, 0.047, 0.018
24.197, 0.047, 0.019
24.275, 0.046, 0.017
23.886, 0.046, 0.018
24.065, 0.044, 0.018
23.912, 0.045, 0.018
24.149, 0.045, 0.018
23.843, 0.046, 0.018
23.762, 0.05, 0.018
23.906, 0.045, 0.018
24.093, 0.051, 0.019
24.234, 0.045, 0.018
23.951, 0.047, 0.018
24.064, 0.047, 0.017
24.106, 0.045, 0.017
23.78, 0.045, 0.017
23.899, 0.044, 0.018
24.103, 0.045, 0.017
23.953, 0.045, 0.017
24.068, 0.047, 0.018
24.189, 0.049, 0.018
24.261, 0.046, 0.018
24.145, 0.045, 0.018
24.045, 0.046, 0.018
24.09, 0.047, 0.018
23.976, 0.044, 0.017
23.921, 0.047, 0.018
24.169, 0.047, 0.017
23.984, 0.046, 0.017
24.008, 0.046, 0.017
23.803, 0.046, 0.018
23.93, 0.045, 0.018
23.791, 0.045, 0.018
23.935, 0.045, 0.017
24.055, 0.051, 0.019
24.304, 0.051, 0.018
23.991, 0.044, 0.018
24.158, 0.046, 0.018
24.12, 0.044, 0.018
23.944, 0.046, 0.017
24.087, 0.046, 0.017
23.886, 0.046, 0.018
23.904, 0.044, 0.018
24.279, 0.045, 0.018
24.13, 0.046, 0.017
24.161, 0.047, 0.018
24.229, 0.048, 0.018
24.364, 0.046, 0.018
23.937, 0.047, 0.018
24.091, 0.044, 0.018
24.047, 0.044, 0.018
23.923, 0.047, 0.018
24.115, 0.046, 0.017
24.476, 0.05, 0.017
24.517, 0.047, 0.018
24.254, 0.046, 0.018
24.39, 0.046, 0.018
24.417, 0.046, 0.018
24.393, 0.046, 0.018
24.286, 0.047, 0.019
24.438, 0.053, 0.017
24.147, 0.045, 0.018
24.255, 0.046, 0.018
24.509, 0.047, 0.018
24.163, 0.046, 0.018
24.155, 0.046, 0.018
24.32, 0.046, 0.018
24.285, 0.046, 0.018
24.154, 0.046, 0.019
24.23, 0.046, 0.018
24.163, 0.045, 0.019
24.344, 0.046, 0.018
24.353, 0.045, 0.018
24.49, 0.048, 0.018
24.3, 0.046, 0.018
24.208, 0.046, 0.017
24.045, 0.047, 0.019
24.341, 0.046, 0.018
24.144, 0.044, 0.017
23.948, 0.043, 0.018
23.859, 0.047, 0.019
23.813, 0.047, 0.017
23.562, 0.043, 0.017
23.456, 0.045, 0.017
23.32, 0.046, 0.017
23.41, 0.045, 0.017
24.04, 0.045, 0.019
23.737, 0.045, 0.019
23.668, 0.045, 0.016
24.373, 0.045, 0.017
24.158, 0.047, 0.018
24.073, 0.046, 0.018
24.238, 0.044, 0.018
23.476, 0.045, 0.018
23.097, 0.047, 0.018
23.979, 0.045, 0.019
24.149, 0.045, 0.017
23.96, 0.046, 0.017
23.791, 0.046, 0.018
23.845, 0.046, 0.016
24.033, 0.045, 0.017
23.915, 0.047, 0.017
23.686, 0.044, 0.019
23.901, 0.045, 0.017
23.725, 0.048, 0.018
23.955, 0.046, 0.018
23.705, 0.046, 0.017
23.76, 0.045, 0.017
